Image Embedding
model_nickname: inception_v3_pretrained
model_path: 

dim=30
lr_img_emb=10.0
thr_img_emb=0.05
max_iter_img_emb=10000
k=10


iter=0, err=1.660216925267654, cum_time=2.2550950050354004sec
iter=100, err=1.4932301662796392, cum_time=228.56865644454956sec
iter=200, err=1.403652919176437, cum_time=455.04045057296753sec
iter=300, err=1.3354273363328977, cum_time=680.2265396118164sec
iter=400, err=1.276304778982402, cum_time=906.0113990306854sec
iter=500, err=1.2227030289139067, cum_time=1131.8898479938507sec
iter=600, err=1.1731948311139373, cum_time=1357.9808700084686sec
iter=700, err=1.1270369406227654, cum_time=1582.9088718891144sec
iter=800, err=1.083758332156504, cum_time=1807.6166651248932sec
iter=900, err=1.0430203112188683, cum_time=2032.560423374176sec
iter=1000, err=1.0045601165023115, cum_time=2257.373147726059sec
